"time" "k1_ipm" "k2_ipm" "h1_average" "h2_average"
154980 7.17337488397333e-10 6.60181326610752e-10 -3.189747 -3.3218395
155040 7.17016984191501e-10 6.59654856023724e-10 -3.1909341 -3.3230941
155100 7.16454615235745e-10 6.59239242538048e-10 -3.1921212 -3.3243487
155160 7.15892748654333e-10 6.58713694687289e-10 -3.1933082 -3.3256032
155220 7.15331383774396e-10 6.58188632762152e-10 -3.1944953 -3.3268578
155280 7.14770706457336e-10 6.57774194659495e-10 -3.1956823 -3.3281123
155340 7.14452061179142e-10 6.57360061283601e-10 -3.1968693 -3.3293668
155400 7.13891903091122e-10 6.56726080411768e-10 -3.1980563 -3.3306213
155460 7.13090927852642e-10 6.56092684943282e-10 -3.1992432 -3.3318758
155520 7.1277327065884e-10 6.55789914286695e-10 -3.2004301 -3.3331303
155580 7.1221479452209e-10 6.55267497620915e-10 -3.2016171 -3.3343848
155640 7.11656815504473e-10 6.54635573003586e-10 -3.202804 -3.3356392
155700 7.11099147945526e-10 6.54223875911677e-10 -3.2039908 -3.3368936
155760 7.10541791865904e-10 6.53702825176504e-10 -3.2051777 -3.3381481
155820 7.10225789293141e-10 6.53292014444748e-10 -3.2063645 -3.3394025
155880 7.09429120121003e-10 6.5277179501841e-10 -3.2075513 -3.3406569
155940 7.08873433591635e-10 6.52142395374821e-10 -3.2087381 -3.3419112
156000 7.0855840904616e-10 6.51732714865865e-10 -3.2099249 -3.3431656
156060 7.08003418893598e-10 6.51323334130506e-10 -3.2111117 -3.34442
156120 7.07449105058307e-10 6.50804745120291e-10 -3.2122984 -3.3456743
156180 7.06895282955912e-10 6.50177175500172e-10 -3.2134851 -3.3469286
156240 7.06341768905093e-10 6.49659666547813e-10 -3.2146718 -3.3481829
156300 7.06028748080629e-10 6.49361270001986e-10 -3.2158585 -3.3494372
156360 7.05476291249173e-10 6.48844457458525e-10 -3.2170452 -3.3506915
156420 7.04684351746146e-10 6.48218862850825e-10 -3.2182318 -3.3519458
156480 7.04371933623178e-10 6.47921537848716e-10 -3.2194184 -3.3532
156540 7.03820579671219e-10 6.47406172821383e-10 -3.2206051 -3.3544543
156600 7.03269713883877e-10 6.46782097619161e-10 -3.2217916 -3.3557085
156660 7.02719154084463e-10 6.46267650580251e-10 -3.2229782 -3.3569627
156720 7.02169262897706e-10 6.45862605055359e-10 -3.2241648 -3.3582169
156780 7.01859010416513e-10 6.45457778537934e-10 -3.2253513 -3.3594711
156840 7.01071300262919e-10 6.44835509711788e-10 -3.2265378 -3.3607253
156900 7.00523046004175e-10 6.44322742914746e-10 -3.2277243 -3.3619794
156960 7.00213569691547e-10 6.43919176383462e-10 -3.2289107 -3.3632336
157020 6.99665456637093e-10 6.4340722178672e-10 -3.2300972 -3.3644877
157080 6.99118188083296e-10 6.42895810651996e-10 -3.2312836 -3.3657418
157140 6.98810101117943e-10 6.42602031432829e-10 -3.23247 -3.3669959
157200 6.98263871842606e-10 6.42091153678752e-10 -3.2336564 -3.36825
157260 6.97479815416868e-10 6.41363700835228e-10 -3.2348428 -3.3695041
157320 6.96934294831154e-10 6.40854005114445e-10 -3.2360292 -3.3707581
157380 6.96626995156587e-10 6.40561693328559e-10 -3.2372155 -3.3720122
157440 6.96082330942226e-10 6.40052753081808e-10 -3.2384018 -3.3732662
